,title,artist,genre,year,bpm,energy,dance,dB,duration,popularity
104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,227,7
105,Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,245,80
106,Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,233,79
107,Paradise,Coldplay,permanent wave,2012,140,59,45,-7,279,79
108,Payphone,Maroon 5,pop,2012,110,75,74,-5,231,79
109,What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,200,78
110,I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,220,77
111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,193,76
112,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,188,76
113,Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,242,76
114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,193,75
115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,222,74
116,Try,P!nk,dance pop,2012,104,63,67,-7,248,74
117,Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,211,73
118,One More Night,Maroon 5,pop,2012,93,82,72,-3,220,73
119,Good Time,Owl City,pop,2012,126,87,56,-4,206,73
120,Glad You Came,The Wanted,boy band,2012,127,85,72,-4,198,72
121,Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,228,72
122,International Love,Pitbull,dance pop,2012,120,86,67,-3,227,72
123,Some Nights,fun.,baroque pop,2012,108,74,67,-7,277,72
124,Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,171,71
125,Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,216,71
126,Domino,Jessie J,australian pop,2012,127,55,76,-5,232,69
127,Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,243,68
128,Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,221,68
129,The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,227,67
130,Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,237,66
131,Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,228,65
132,Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,211,65
133,We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,38,-6,251,63
134,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,225,61
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,-4,206,59
136,You Da One,Rihanna,barbadian pop,2012,127,72,70,-5,200,57
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,-3,211,54
138,It Will Rain,Bruno Mars,pop,2012,150,84,58,-7,258,38
139,Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,-3,256,0
140,Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,230,88
141,Wake Me Up,Avicii,big room,2013,124,78,53,-6,247,85
142,Story of My Life,One Direction,boy band,2013,121,66,60,-6,245,81
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,243,81
144,Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,203,80
145,Roar,Katy Perry,dance pop,2013,180,77,55,-5,224,78
146,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,231,78
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,213,78
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,248,77
149,Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,221,77
150,Impossible,James Arthur,pop,2013,170,70,38,-5,209,77
151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,264,76
152,Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,211,76
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,193,75
154,Die Young,Kesha,dance pop,2013,128,70,71,-5,212,75
155,Clarity,Zedd,complextro,2013,128,78,51,-3,271,75
